Route_name,Source,Destination,No_of_Stops_between_Source_to_Dest_including_Src_and_Dest,Total_number_of_Bus_Stops,Percentage_of_Bus_Stops_in_between,Maximum_number_of_Tickets_Sold,Total_Tickets_Sold,Pecentage_of_Tickets_Sold
KBS-KMT-HPNUP,KMT2 KR Market,SRSC Sirsi Circle,2,3,66.66667,8,10,80.0
HVH-KGRUP,BGSM BGS Health City Gate Abhiman Studio,KGR2 Kengeri TTMC,2,4,50.0,54,55,98.18182
MBS-KBSDN,CNTRLT Central,KBS123 Kempegowda Bus Station,2,3,66.66667,46,58,79.31035
D35-GNKUP,D35G Depot-35 Gate,TVK3 Tavarekere,2,2,100.0,1,1,100.0
KVS-KRMUP,JNSNM Johnson Market,JHRD Jn of Hosur Road,2,3,66.66667,5,6,83.33333
KGR-UTH-KDGUP,BGSHM BGS Health City Gate Abhiman Studio,CHNU Channasandra (Towards Uttarahalli),2,2,100.0,1,1,100.0
226-VCUP,HGDGR7 Heggadagere Cross (Towards Sugganahalli),MGP0 Manchegowdanapalya,7,21,33.333336,1,1,100.0
YTTMC-KBHUP,YTTMC Yashawanthapura TTMC,GVTSF1 Govt Soap Factory,2,2,100.0,1,1,100.0
YTTMC-KNP 99BUP,RRGGP Jn of Ring Road Goraguntepalya,KTRVS Kanteerava Studio,2,2,100.0,1,1,100.0
BHCCL-D21GDN,BHELOUTRRN BHEL Layout,D21GT Depot-21 Gate,2,2,100.0,2,2,100.0
V-500KGDN,SIA1 SI Apartment HSR Layout,GTR2 Gottigere (Towards Basavanapura Gate),3,3,100.0,1,1,100.0
356-EDN,SNTTMC3 Shanthinagara TTMC,KBS123 Kempegowda Bus Station,2,2,100.0,1,1,100.0
SBS-AIT-238VDN,NGRCL Nagarabhavi Circle,KNGNT Kengunte Circle,2,2,100.0,1,1,100.0
HSP-ELCDN,SSP1 Somasandra Palya,KDLG Kudlu Gate,2,5,40.0,16,18,88.88889
D34GT-CSBUP,BLKLI Bilekahalli,CSB21 Central Silk Board (Towards Marathahalli),3,3,100.0,1,1,100.0
